semester,course_code,subject,module,part,link
1,20MCA103,Digital Fundamentals & Computer Architecture,1,1,https://drive.google.com/file/d/1S1LfaUv75YM4Shk__-WuCBZPXm6GYkLO/view?usp=drive_link
1,20MCA103,Digital Fundamentals & Computer Architecture,2,1,https://drive.google.com/file/d/1Hp8yevPAKEzUeBNwnqYL5sZxp7D-yjlu/view?usp=drive_link
1,20MCA103,Digital Fundamentals & Computer Architecture,3,1,https://drive.google.com/file/d/1bX7dAYQw3KPlPqLHsNiumVaYj0WB074a/view?usp=drive_link
1,20MCA103,Digital Fundamentals & Computer Architecture,3,2,https://drive.google.com/file/d/1aEyaf2jUXCi9DasBMDgDRsH5_GT8uwT4/view?usp=drive_link
1,20MCA103,Digital Fundamentals & Computer Architecture,3,3,https://drive.google.com/file/d/10RlyIB09UYti9fE0FAxLJEbzY-PFCnmR/view?usp=drive_link
1,20MCA103,Digital Fundamentals & Computer Architecture,3,4,https://drive.google.com/file/d/1P7Q4Qler_wrZxv5HIZUijAFA0nIL_Zpa/view?usp=drive_link
1,20MCA103,Digital Fundamentals & Computer Architecture,3,5,https://drive.google.com/file/d/1IIefn-u7mWaoshlLCKfAhA9up3kXb-Ji/view?usp=drive_link
1,20MCA103,Digital Fundamentals & Computer Architecture,4,1,https://drive.google.com/file/d/1MwUy3qbc8SMw1aEwytVaERG5O_y-4Zjw/view?usp=drive_link
1,20MCA103,Digital Fundamentals & Computer Architecture,4,2,https://drive.google.com/file/d/1oqv7Q7J7nPGFqmdJk_Qaoy6oWKsxpIei/view?usp=drive_link
1,20MCA103,Digital Fundamentals & Computer Architecture,4,3,https://drive.google.com/file/d/1zh_2RsQMJWy9Bq2K7UUQkROrQOuBoZZn/view?usp=drive_link
1,20MCA103,Digital Fundamentals & Computer Architecture,4,4,https://drive.google.com/file/d/1f-mArYxT3FYBEr4l1fDMJslD3Fled2Ju/view?usp=drive_link
1,20MCA103,Digital Fundamentals & Computer Architecture,4,5,https://drive.google.com/file/d/1H-INIITmdcKzlxjc4V8-ru0hcVVEc8As/view?usp=drive_link
1,20MCA103,Digital Fundamentals & Computer Architecture,5,1,https://drive.google.com/file/d/1NcqG0N7JGgDHJHaGbWMykw2IWiV3W_1B/view?usp=drive_link
1,20MCA103,Digital Fundamentals & Computer Architecture,5,2,https://drive.google.com/file/d/1CA_VIUo4iDbbiDKsppijK6uMaxZebkKO/view?usp=drive_link
1,20MCA103,Digital Fundamentals & Computer Architecture,5,3,https://drive.google.com/file/d/1Yruoo1k1lXIPofyi0uLYImUzm85_9A-f/view?usp=drive_link
1,20MCA103,Digital Fundamentals & Computer Architecture,5,4,https://drive.google.com/file/d/1-AgLldwyml25PGXGGlEhbhuHhOvAXzpB/view?usp=drive_link
1,20MCA103,Digital Fundamentals & Computer Architecture,5,5,https://drive.google.com/file/d/1WEpLm0n4NS5N-RcXy6GU6iu8GQfwmk9V/view?usp=drive_link








2,20MCA104,Advanced Computer Networks,1,1,https://drive.google.com/file/d/1CdimsDoURRmOqh8MK5p1Sfu4zg8PrxX4/view?usp=drive_link
2,20MCA104,Advanced Computer Networks,1,2,https://drive.google.com/file/d/1B6KMWx20AdwTczZwhh7VEg0kX0Hzblfb/view?usp=drive_link
2,20MCA104,Advanced Computer Networks,1,3,https://drive.google.com/file/d/1pGCLO1cuXSvsXw4Y7N1yE0CnEpR6fIku/view?usp=drive_link
2,20MCA104,Advanced Computer Networks,1,4,https://drive.google.com/file/d/1lGnFPDTHw8zz_7X41ayyCrfl9IVr-6J1/view?usp=drive_link
2,20MCA104,Advanced Computer Networks,1,5,https://drive.google.com/file/d/1mSevODKJ8u1YcoEJPuTYhsWwhO99RCBr/view?usp=drive_link
2,20MCA104,Advanced Computer Networks,1,6,https://drive.google.com/file/d/1Q61GizUCsrRV2eNV9ZT4BBhdKVL0GGYe/view?usp=drive_link
2,20MCA104,Advanced Computer Networks,1,7,https://drive.google.com/file/d/1u7-ItXnIsZEp7MOiw6yM8n1FFOPP6a_a/view?usp=drive_link
2,20MCA104,Advanced Computer Networks,1,8,https://drive.google.com/file/d/1LpAHEyMl4f5h2TnXl1UzLw2NSKw31Bq1/view?usp=drive_link
2,20MCA104,Advanced Computer Networks,2,1,https://drive.google.com/file/d/142gB8wCGYou4tK8zNryUNB9G845vAWq6/view?usp=drive_link
2,20MCA104,Advanced Computer Networks,2,2,https://drive.google.com/file/d/1vx8T5wdBdNW6XDTlgHtDLTl_-i-zq-ks/view?usp=drive_link
2,20MCA104,Advanced Computer Networks,2,3,https://drive.google.com/file/d/1tpMwyCkCoaYVTR-gSgPGCEWVh8UXIcuG/view?usp=drive_link
2,20MCA104,Advanced Computer Networks,2,4,https://drive.google.com/file/d/1rcsYfBQv4DMD85-mj4UcKai_7Mpg14OP/view?usp=drive_link
2,20MCA104,Advanced Computer Networks,3,1,https://drive.google.com/file/d/1QUU2chrBSlvmdcF_CmyYgXfKQvw0KW10/view?usp=drive_link
2,20MCA104,Advanced Computer Networks,3,2,https://drive.google.com/file/d/1P7bKnHBMM-ZV56Q_cXN01PEGlam8FU_B/view?usp=drive_link
2,20MCA104,Advanced Computer Networks,3,3,https://drive.google.com/file/d/14iVMP5EOcnWnUT-y9aawfyY9xTy3AVdT/view?usp=drive_link
